source_frame,original_source_frame,source_timestamp_s,time_s,sim_time_s,pairing_error_s,simulation_step,status,pixel_iou,footprint_iou,pixel_bias_m,pixel_mae_m,pixel_p95_m,real_coverage,sim_coverage,common_visible_pixels,depth_change_mae_m,boundary_mean_distance_px,frozen_pixel_iou,frozen_pixel_p95_m
0,2,0.06670190393924713,0.0,0.0,0.0,0,paired,0.5452024836958644,0.8305870236869207,0.00696142390370369,0.007188970688730478,0.027077466249465942,0.9920414979037874,0.5475975681506178,13961,0.0,4.690198775592618,0.5452024836958644,0.027077466249465942
1,3,0.10005273669958115,0.033350832760334015,0.0334,4.916723966598424e-05,167,paired,0.5351573187414501,0.8160741885625966,0.007858030498027802,0.00826320517808199,0.02829645574092865,0.990523041307965,0.5379115266755716,13692,0.0036807472351938486,4.905438632923078,0.5349599843841499,0.027537377551198006
2,4,0.13340356945991516,0.06670166552066803,0.0668,9.833447933196848e-05,334,paired,0.5374072627879735,0.8273195876288659,0.007465361151844263,0.007834194228053093,0.027759090065956116,0.9913563350860765,0.5399372302863868,13763,0.003983365837484598,4.641819639332233,0.5370023419203747,0.026499446481466293
3,5,0.16675415635108948,0.10005225241184235,0.10020000000000001,0.0001477475881576651,501,paired,0.54555741990869,0.8301693175987686,0.008322290144860744,0.008393989875912666,0.02879384160041809,0.9915602836879432,0.5481025560608437,13981,0.004596548154950142,4.804806725991126,0.5461361240188997,0.027619369328022003
4,6,0.2001049816608429,0.13340307772159576,0.1336,0.00019692227840423238,668,paired,0.536198566084788,0.8216299333675039,0.008670714683830738,0.008776385337114334,0.029049545526504517,0.9913550896909444,0.5387175070466645,13761,0.004985006060451269,4.967730358925005,0.5365044679439653,0.02751838229596615
5,7,0.2334555685520172,0.16675366461277008,0.1668,4.633538722992325e-05,834,paired,0.5361483328139607,0.8208802456499488,0.008230493403971195,0.008332764729857445,0.02895224653184414,0.9919285096569617,0.5384976525821596,13764,0.00469875568524003,5.035615542548977,0.5357101064867185,0.0274873785674572
6,8,0.26680615544319153,0.2001042515039444,0.20020000000000002,9.574849605561986e-05,1001,paired,0.5400436272982237,0.813265306122449,0.008552603423595428,0.008581590838730335,0.02895873412489891,0.9933366769363043,0.5420071152116971,13864,0.004790577106177807,5.18833718541417,0.5416959749902306,0.027533631771802902
7,9,0.30015674233436584,0.2334548383951187,0.2336,0.0001451616048812887,1168,paired,0.5332322171664139,0.7993890020366599,0.009067843668162823,0.009224051609635353,0.029566586017608643,0.9921128798842258,0.5355022652710514,13711,0.005265085492283106,5.227016771039467,0.5347829481574016,0.02806241624057293
8,10,0.33350709080696106,0.26680518686771393,0.267,0.00019481313228608688,1335,paired,0.5358544832679079,0.820538891713269,0.008391750045120716,0.008497372269630432,0.028751933947205544,0.9915851553509781,0.5383023582695612,13787,0.004753266926854849,5.030656003378811,0.5375819544177334,0.02729342319071293
9,11,0.3668576776981354,0.30015577375888824,0.3002,4.422624111177775e-05,1501,paired,0.5373644736330782,0.8201219512195121,0.007867238484323025,0.008030413649976254,0.028385568410158157,0.992036731472846,0.5396924517992351,13828,0.0045381225645542145,5.033778082240712,0.5393683881797244,0.026413995772600174
10,12,0.4002079963684082,0.33350609242916107,0.3336,9.390757083893586e-05,1668,paired,0.5294140488486778,0.7939086294416243,0.00923919677734375,0.00933423638343811,0.029464751482009888,0.9913473423980222,0.5318717328548023,13634,0.005299285985529423,4.961068429435546,0.5319281811085089,0.028039656579494476
11,13,0.4335583448410034,0.3668564409017563,0.367,0.00014355909824370627,1835,paired,0.5339104778912225,0.8073022312373225,0.008839999325573444,0.008932540193200111,0.02879437245428562,0.9919221060223584,0.536242055601045,13753,0.004950796253979206,4.8583325956467895,0.5366596392597798,0.027486227452754974
12,14,0.46690845489501953,0.4002065509557724,0.40040000000000003,0.00019344904422763376,2002,paired,0.5383123933612532,0.8210846426761277,0.008097357116639614,0.0083165867254138,0.029091373085975647,0.9908636688079943,0.5409976617303196,13882,0.0045459377579391,4.89682052363111,0.5415983766487161,0.02681354619562626
13,15,0.5002588033676147,0.4335568994283676,0.43360000000000004,4.31005716324262e-05,2168,paired,0.535693512737989,0.8086075949367089,0.009418033994734287,0.009577139280736446,0.02988606132566929,0.9919580670639765,0.5380301437083771,13815,0.005410937126725912,4.906491674691769,0.5388999492524496,0.028230279684066772
14,16,0.5336105823516846,0.46690867841243744,0.467,9.132158756258724e-05,2335,paired,0.5336590662323561,0.7995961635537607,0.00939891766756773,0.009454663842916489,0.029997391626238823,0.9925712225027047,0.5357991045357212,13762,0.0053182560950517654,5.040876622407617,0.5368996485747755,0.028397826477885246
15,17,0.5669618844985962,0.5002599805593491,0.5004000000000001,0.0001400194406510069,2502,paired,0.5322068056739787,0.8,0.009006456471979618,0.009096208959817886,0.029924988746643066,0.9920531715070077,0.5344854429394365,13732,0.005127278156578541,5.0431979762871775,0.5349227407523022,0.027994615957140923
16,18,0.6003134846687317,0.5336115807294846,0.5338,0.00018841927051549412,2669,paired,0.5349926453510877,0.7996972754793138,0.009641305543482304,0.009753831662237644,0.0302295982837677,0.9918191603875135,0.5373639191290824,13821,0.005646852310746908,4.951615902438419,0.5393925197157804,0.028719700872898102
17,19,0.6336650252342224,0.5669631212949753,0.5670000000000001,3.6878705024778746e-05,2835,paired,0.531672983216026,0.7964735516372796,0.00971071608364582,0.009758605621755123,0.03025193139910698,0.9907040426605174,0.5343386839752808,13748,0.005661965813487768,4.858918786639367,0.5357491126106799,0.028984548524022102
18,20,0.6670163869857788,0.6003144830465317,0.6004,8.551695346836752e-05,3002,paired,0.5323671497584541,0.7953629032258065,0.009258953854441643,0.009345807135105133,0.02992210164666176,0.9900100618082507,0.5352424619210444,13775,0.005617973394691944,4.999094228986137,0.5365929738370959,0.028118515387177467
19,21,0.7003676891326904,0.6336657851934433,0.6338,0.00013421480655673168,3169,paired,0.5333951404179704,0.7934508816120907,0.010336585342884064,0.01042980421334505,0.030785715207457542,0.9903177221544861,0.5361913637775707,13808,0.006400596350431442,4.897430691943037,0.5378436342366933,0.029187139123678207
20,22,0.733718991279602,0.6670170873403549,0.6672,0.00018291265964509584,3336,paired,0.5270171101927311,0.7864321608040201,0.009189829230308533,0.009293612092733383,0.029539773240685463,0.9910662405578152,0.5295327538031667,13645,0.005690394435077906,5.061130010218223,0.5314377096497387,0.028378354385495186
21,23,0.7670700550079346,0.7003681510686874,0.7004,3.1848931312583595e-05,3502,paired,0.5290686444933751,0.7791164658634538,0.009419407695531845,0.009503438137471676,0.030192174017429352,0.991745112237509,0.5314088387071741,13696,0.005876314360648394,5.101618758933319,0.5349318545710158,0.02853044681251049
22,24,0.800421416759491,0.7337195128202438,0.7338,8.048717975617237e-05,3669,paired,0.5307059867989347,0.7692692692692693,0.011348027735948563,0.0113729452714324,0.032142505049705505,0.9924209614551754,0.5328656693279591,13749,0.007291197776794434,5.195276692226283,0.5365901280849734,0.03103688359260559
23,25,0.8337724804878235,0.7670705765485764,0.7672,0.0001294234514236381,3836,paired,0.52501647095299,0.7563654518222666,0.010046480223536491,0.010087648406624794,0.030799008905887604,0.9919455224427034,0.5272642353948547,13547,0.005807202775031328,5.124647084389495,0.5287181289289759,0.029067039489746094
24,26,0.867123544216156,0.8004216402769089,0.8006000000000001,0.00017835972309121484,4003,paired,0.5229802583097389,0.7412412412412412,0.009899264201521873,0.009977785870432854,0.031109025701880455,0.9915434958452828,0.5253233598254636,13484,0.006542802322655916,5.651907581152033,0.5261555277951281,0.02909388393163681
25,27,0.9004743695259094,0.8337724655866623,0.8338,2.753441333769313e-05,4169,paired,0.5257608063578213,0.7325,0.01125238835811615,0.01125805452466011,0.031975653022527695,0.9931893079458074,0.5276632168702825,13562,0.00788367073982954,6.226406854666127,0.5291774080149988,0.030539313331246376
26,28,0.9338254332542419,0.8671235293149948,0.8672000000000001,7.647068500526988e-05,4336,paired,0.5159852741716722,0.7150726089133701,0.012130370363593102,0.012136122211813927,0.033213526010513306,0.9921758569299552,0.5180933852140078,13315,0.008195527829229832,6.7670205058035915,0.5197609935171444,0.03105950355529785
27,29,0.9671762585639954,0.9004743546247482,0.9006000000000001,0.00012564537525183717,4503,paired,0.512707182320442,0.6995905834186285,0.012828354723751545,0.012831108644604683,0.03297671675682068,0.9913016938806654,0.5150241814001427,12992,0.01029476523399353,6.693877160439186,0.5051470014817125,0.031597405672073364
28,30,1.0005271434783936,0.9338252395391464,0.934,0.00017476046085362906,4670,paired,0.4970189268136529,0.6550286607608129,0.014446699060499668,0.0144476518034935,0.03478619456291199,0.9805794584353044,0.5019599919175591,12421,0.011911636218428612,7.6681846091259285,0.4764004952027236,0.03354137763381004
29,31,1.0338777303695679,0.9671758264303207,0.9672000000000001,2.417356967931994e-05,4836,paired,0.4978157024455967,0.6557203389830508,0.013177498243749142,0.013184518553316593,0.033049989491701126,0.9762991432460565,0.5039054428234905,12193,0.011437767185270786,10.09481004675936,0.4635123680357556,0.03362317755818367
30,32,1.0672285556793213,1.0005266517400742,1.0006000000000002,7.334825992599825e-05,5003,paired,0.4781099403740913,0.6253985122210415,0.01659642532467842,0.01659642532467842,0.03551961109042168,0.9406990759341101,0.49296782886979956,11707,0.013289707712829113,10.687238427439972,0.4428598592888382,0.03862980380654335
31,33,1.1005791425704956,1.0338772386312485,1.034,0.00012276136875155608,5170,paired,0.42207868929935805,0.5540265035677879,0.01653311587870121,0.016533339396119118,0.03557010367512703,0.8561271768653139,0.4543026706231454,10717,0.013229329138994217,12.819675547486257,0.4080453383709301,0.03894996643066406
32,34,1.13392972946167,1.0672278255224228,1.0674000000000001,0.00017217447757733595,5337,paired,0.37675282346699007,0.4990281827016521,0.017623843625187874,0.017623944208025932,0.03759455680847168,0.7962992630567126,0.416935788281676,9941,0.01382400467991829,14.989016765525719,0.3927026035936927,0.03982360288500786
33,35,1.1672803163528442,1.100578412413597,1.1006,2.1587586402915804e-05,5503,paired,0.3443035245931089,0.46924510717614165,0.01646737940609455,0.01647963374853134,0.03718190640211105,0.7516667973958742,0.38849475007094497,9583,0.013199699111282825,14.961248964967968,0.3857023805210334,0.04035191610455513
34,36,1.2006306648254395,1.1339287608861923,1.1340000000000001,7.123911380779724e-05,5670,paired,0.3417743089874237,0.46105919003115264,0.01437366846948862,0.014443425461649895,0.03653649240732193,0.7718002001077503,0.3801941158629057,10028,0.012271972373127937,14.642605881755667,0.38645533141210375,0.0406193844974041
35,37,1.2339812517166138,1.1672793477773666,1.1674,0.00012065222263335507,5837,paired,0.3601774273040907,0.49477806788511747,0.007845308631658554,0.009380929172039032,0.03136914223432541,0.8443999383762132,0.38578215731127924,10962,0.011251391842961311,11.64609747093824,0.3754557803674841,0.03786824271082878
36,38,1.267331600189209,1.2006296962499619,1.2008,0.0001703037500382365,6004,paired,0.38646731710565746,0.5478961504028648,0.007401222828775644,0.009170112200081348,0.030495524406433105,0.8866987546795019,0.406543365559759,11606,0.011082406155765057,10.907847064212477,0.3711442786069652,0.038180768489837646
37,39,1.3006815910339355,1.2339796870946884,1.234,2.0312905311570262e-05,6170,paired,0.4097799839012611,0.5833707865168539,0.009366005659103394,0.010442616418004036,0.032754041254520416,0.9387629658086822,0.4210344946414418,12218,0.01148518081754446,10.028428277351985,0.3802867383512545,0.03847783803939819
38,40,1.3340319395065308,1.2673300355672836,1.2674,6.99644327164517e-05,6337,paired,0.39702796019226866,0.5768194070080862,0.00862102024257183,0.009991880506277084,0.03125113621354103,0.91704456606724,0.41181840525262453,11729,0.011124267242848873,9.522921595068542,0.33700017461148946,0.03546945005655289
39,41,1.3673820495605469,1.3006801456212997,1.3008,0.00011985437870021265,6504,paired,0.42065827288901053,0.607451158564289,0.008715812116861343,0.01023778971284628,0.03185021132230759,0.9346256176358799,0.4334108855047941,12295,0.01143633108586073,9.79103022729661,0.35305443724838087,0.03559236228466034
40,42,1.400732159614563,1.3340302556753159,1.3342,0.00016974432468419565,6671,paired,0.4152271490750816,0.6007326007326007,0.008760897442698479,0.010143912397325039,0.03137718141078949,0.9334199663659991,0.4279006202473981,12211,0.011283127591013908,9.214554721650165,0.3447085889570552,0.03774264454841614
41,43,1.434082269668579,1.367380365729332,1.3674000000000002,1.963427066820067e-05,6837,paired,0.4146883523588241,0.6171983356449375,0.003770118812099099,0.008856000378727913,0.02786491997539997,0.9512590761625213,0.4236909103419803,12315,0.012004920281469822,9.339080819208098,0.3520329206527856,0.03719327971339226
42,44,1.4674323797225952,1.400730475783348,1.4008,6.952421665196162e-05,7004,paired,0.40708197584493366,0.6043498380379454,-0.0002390192967141047,0.010218462906777859,0.025246690958738327,0.9411138161898965,0.4177219464424408,12370,0.014169881120324135,10.67702077106439,0.3568017416953438,0.037587255239486694
43,45,1.5007824897766113,1.4340805858373642,1.4342000000000001,0.00011941416263594462,7171,paired,0.3403741701870851,0.53739982190561,-0.0090516097843647,0.01473324280232191,0.02834334969520569,0.8653624856156502,0.35940736020391906,11280,0.01961970515549183,14.702110886721226,0.35932263185747043,0.03849881514906883
44,46,1.534134030342102,1.467432126402855,1.4676,0.0001678735971450962,7338,paired,0.28173295454545455,0.46589446589446587,-0.018220998346805573,0.020282641053199768,0.03558170795440674,0.769356089992242,0.3077233375740838,9917,0.024963274598121643,20.91233195026546,0.3589534801387807,0.03683105483651161
45,47,1.5674858093261719,1.5007839053869247,1.5008000000000001,1.6094613075390285e-05,7504,paired,0.24442032615350365,0.40224159402241594,-0.016250310465693474,0.018989669159054756,0.03508380055427551,0.6785383189122374,0.27642967299279264,8783,0.023183688521385193,24.11454666381815,0.356447173406733,0.03794404864311218
