frame,source_frame,sim_time_s,tool,grid_proximity_candidates,grid_responses_applied,particle_proximity_candidates,particle_responses_applied
0,0,0.0,UR5e_spathla,0,0,0,0
0,0,0.0,gen3_spathla,0,0,0,0
1,20,0.6672,UR5e_spathla,0,0,0,0
1,20,0.6672,gen3_spathla,82,82,0,0
2,40,1.3342,UR5e_spathla,94994,94994,282720,282720
2,40,1.3342,gen3_spathla,49374,49374,32575,32575
3,60,2.0012000000000003,UR5e_spathla,129906,129906,399248,399248
3,60,2.0012000000000003,gen3_spathla,35114,35114,8324,8324
4,80,2.6682,UR5e_spathla,149228,149228,608881,608881
4,80,2.6682,gen3_spathla,18544,18544,21,21
5,100,3.3352,UR5e_spathla,174912,174912,441958,441958
5,100,3.3352,gen3_spathla,8857,8857,0,0
6,120,4.0022,UR5e_spathla,176534,176534,202736,202736
6,120,4.0022,gen3_spathla,7408,7408,0,0
7,140,4.6692,UR5e_spathla,179155,179155,195462,195462
7,140,4.6692,gen3_spathla,16460,16460,0,0
8,160,5.3362,UR5e_spathla,176545,176545,245743,245743
8,160,5.3362,gen3_spathla,17630,17630,6,6
