id,year,title,authors,venue,doi,url,read_url,evidence
mls2018,2018,A Moving Least Squares Material Point Method with Displacement Discontinuity and Two-Way Rigid Body Coupling,"Hu, Yuanming; Fang, Yu; Ge, Ziheng; Qu, Ziyin; Zhu, Yixin; Pradhana, Andre; Jiang, Chenfanfu",ACM Transactions on Graphics,10.1145/3197517.3201293,https://doi.org/10.1145/3197517.3201293,https://yuanming.taichi.graphics/publication/2018-mlsmpm/mls-mpm-cpic.pdf,"Full-text relevant methods, equations and bibliography inspected"
apic2015,2015,The Affine Particle-In-Cell Method,"Jiang, Chenfanfu; Schroeder, Craig; Selle, Andrew; Teran, Joseph; Stomakhin, Alexey",ACM Transactions on Graphics,10.1145/2766996,https://doi.org/10.1145/2766996,https://disneyanimation.com/publications/the-affine-particle-in-cell-method/,Primary Disney abstract/project page and bibliography inspected; full paper not inspected
snow2013,2013,A Material Point Method for Snow Simulation,"Stomakhin, Alexey; Schroeder, Craig; Chai, Lawrence; Teran, Joseph; Selle, Andrew",ACM Transactions on Graphics,10.1145/2461912.2461948,https://doi.org/10.1145/2461912.2461948,https://media.disneyanimation.com/uploads/production/publication_asset/94/asset/SSCTS13_2.pdf,Full-text constitutive equations and plastic update inspected
ils2020,2020,ILS-MPM: An implicit level-set-based material point method for frictional particulate contact mechanics of deformable particles,"Liu, Chuanqi; Sun, WaiChing",Computer Methods in Applied Mechanics and Engineering,10.1016/j.cma.2020.113168,https://doi.org/10.1016/j.cma.2020.113168,https://par.nsf.gov/servlets/purl/10209615,"Full-text contact formulation inspected, pages 1–7"
raue2009,2009,Structural and practical identifiability analysis of partially observed dynamical models by exploiting the profile likelihood,"Raue, Andreas; Kreutz, Clemens; Maiwald, Thomas; Bachmann, Julie; Schilling, Marcel; Klingmüller, Ursula; Timmer, Jens",Bioinformatics,10.1093/bioinformatics/btp358,https://doi.org/10.1093/bioinformatics/btp358,https://pubmed.ncbi.nlm.nih.gov/19505944/,Indexed metadata and abstract only; detailed profile equations checked in Raue 2011
raue2011,2011,Addressing parameter identifiability by model-based experimentation,"Raue, Andreas; Kreutz, Clemens; Maiwald, Thomas; Klingmüller, Ursula; Timmer, Jens",IET Systems Biology,10.1049/iet-syb.2010.0061,https://doi.org/10.1049/iet-syb.2010.0061,https://www.jeti.uni-freiburg.de/papers/ISBEAT_5_2_120_1.pdf,"Full-text methods and experiment-design discussion inspected, pages 120–128"
kennedy2001,2001,Bayesian calibration of computer models,"Kennedy, Marc C.; O'Hagan, Anthony",Journal of the Royal Statistical Society: Series B (Statistical Methodology),10.1111/1467-9868.00294,https://doi.org/10.1111/1467-9868.00294,https://academic.oup.com/jrsssb/article/63/3/425/7083367,Primary abstract and bibliography inspected; issue year 2001
discrepancy2014,2014,Learning about physical parameters: the importance of model discrepancy,"Brynjarsdóttir, Jenný; O'Hagan, Anthony",Inverse Problems,10.1088/0266-5611/30/11/114007,https://doi.org/10.1088/0266-5611/30/11/114007,https://iopscience.iop.org/article/10.1088/0266-5611/30/11/114007,Primary abstract and bibliography inspected
matl2020,2020,Inferring the Material Properties of Granular Media for Robotic Tasks,"Matl, Carolyn; Narang, Yashraj; Bajcsy, Ruzena; Ramos, Fabio; Fox, Dieter",IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA40945.2020.9197063,https://doi.org/10.1109/ICRA40945.2020.9197063,https://arxiv.org/pdf/2003.08032v4,"Full text: arXiv 2003.08032 v4, 5 November 2020"
robocraft2022,2022,"RoboCraft: Learning to See, Simulate, and Shape Elasto-Plastic Objects with Graph Networks","Shi, Haochen; Xu, Huazhe; Huang, Zhiao; Li, Yunzhu; Wu, Jiajun",Robotics: Science and Systems XVIII,10.15607/RSS.2022.XVIII.008,https://doi.org/10.15607/RSS.2022.XVIII.008,https://www.roboticsproceedings.org/rss18/p008.html,Primary RSS proceedings abstract and bibliography inspected
